10372,POS消费,地点27,教务处,2013/09/01 10:47:18,9.0,46.51
10372,POS消费,地点21,开水,2013/09/01 10:47:47,3.0,43.51
10372,POS消费,地点232,食堂,2013/09/01 10:48:55,4.1,39.41
10372,POS消费,地点21,开水,2013/09/01 16:52:42,2.0,37.41
10372,POS消费,地点21,开水,2013/09/01 16:53:09,1.35,36.06
10372,POS消费,地点21,开水,2013/09/01 20:29:12,18.2,17.86
10372,POS消费,地点215,开水,2013/09/01 20:34:13,0.04,17.82
10372,POS消费,地点21,开水,2013/09/02 07:14:51,3.43,14.39
10372,POS消费,地点21,开水,2013/09/02 11:58:46,6.6,18.79
10372,POS消费,地点21,开水,2013/09/02 11:59:32,3.5,15.29
10372,POS消费,地点21,开水,2013/09/02 12:00:11,3.0,12.29
10372,圈存转账,,,2013/09/02 12:00:16,11.0,25.39
10372,POS消费,地点215,开水,2013/09/02 21:52:20,0.02,12.27
10372,POS消费,地点21,开水,2013/09/03 07:24:09,1.83,10.44
10372,POS消费,地点21,开水,2013/09/03 07:24:23,2.2,8.24
10372,卡充值,,,2013/09/03 10:10:11,50.0,58.24
10372,POS消费,地点21,开水,2013/09/03 10:12:23,8.8,49.44
10372,POS消费,地点1673,淋浴,2013/09/03 15:47:27,0.6,48.84
10372,POS消费,地点21,开水,2013/09/03 16:26:19,2.8,46.04
10372,POS消费,地点21,开水,2013/09/03 16:46:02,2.4,43.64
10372,POS消费,地点91,校车,2013/09/03 16:48:30,4.0,39.64
10372,POS消费,地点21,开水,2013/09/03 16:48:53,0.65,38.99
10372,POS消费,地点21,开水,2013/09/03 16:49:30,1.5,37.49
10372,POS消费,地点232,食堂,2013/09/03 16:54:44,3.5,33.99
10372,POS消费,地点215,开水,2013/09/03 22:10:12,0.03,33.96
10372,POS消费,地点21,开水,2013/09/04 11:52:30,4.6,29.36
10372,POS消费,地点21,开水,2013/09/04 11:52:51,4.0,25.36
10372,POS消费,地点21,开水,2013/09/04 11:54:10,3.0,22.36
