24122,POS消费,地点78,其他,2014/04/11 17:25:59,38.39,134.61
24122,卡片开户,,,2014/07/17 09:03:44,0.0,0.0
24122,卡充值,,,2014/08/27 16:23:39,100.0,100.0
24122,POS消费,地点188,超市,2014/08/27 16:38:03,57.9,42.1
24122,卡充值,,,2014/08/27 16:42:28,200.0,242.1
24122,POS消费,地点314,食堂,2014/08/28 10:50:37,28.0,214.1
24122,POS消费,地点26,图书馆,2014/08/28 11:18:51,82.0,132.1
24122,POS消费,地点26,图书馆,2014/08/28 11:18:58,100.0,32.1
24122,POS消费,地点168,食堂,2014/08/28 20:49:53,6.5,25.6
24122,POS消费,地点168,食堂,2014/08/28 20:51:06,6.5,19.1
24122,POS消费,地点168,食堂,2014/08/28 20:51:18,10.0,9.1
24122,POS消费,地点168,食堂,2014/08/28 21:08:13,5.5,3.6
24122,卡充值,,,2014/08/28 21:17:37,400.0,403.6
24122,POS消费,地点168,食堂,2014/08/28 21:22:30,5.5,398.1
24122,POS消费,地点69,食堂,2014/08/30 12:26:30,2.72,395.38
24122,POS消费,地点69,食堂,2014/08/30 12:26:38,13.6,381.78
24122,POS消费,地点188,超市,2014/08/30 13:20:58,23.8,357.98
24122,POS消费,地点103,食堂,2014/08/30 17:49:46,7.6,350.38
24122,POS消费,地点103,食堂,2014/08/30 17:50:02,7.6,342.78
24122,POS消费,地点103,食堂,2014/08/30 17:50:15,7.6,335.18
24122,POS消费,地点118,食堂,2014/08/31 07:42:26,8.5,326.68
24122,POS消费,地点72,食堂,2014/08/31 11:56:08,6.8,319.88
24122,POS消费,地点283,食堂,2014/08/31 17:49:00,9.5,310.38
24122,POS消费,地点283,食堂,2014/08/31 17:52:05,1.6,308.78
24122,POS消费,地点1911,淋浴,2014/08/31 21:39:52,0.2,308.38
24122,POS消费,地点1911,淋浴,2014/08/31 21:40:39,0.2,308.58
24122,POS消费,地点1911,淋浴,2014/08/31 21:42:36,0.1,308.28
24122,POS消费,地点1911,淋浴,2014/08/31 21:44:15,0.2,308.08
