10904,POS消费,地点232,食堂,2013/09/06 12:07:35,16.0,59.82
10904,POS消费,地点21,开水,2013/09/13 07:46:24,4.6,55.22
10904,POS消费,地点21,开水,2013/09/13 07:47:21,4.5,50.72
10904,POS消费,地点248,超市,2013/10/08 17:52:50,6.6,44.12
10904,POS消费,地点91,校车,2013/11/19 17:55:19,5.0,39.12
10904,POS消费,地点91,校车,2013/11/19 18:03:28,5.1,34.02
10904,POS消费,地点21,开水,2013/11/19 18:15:36,6.5,27.52
10904,POS消费,地点515,淋浴,2013/11/19 19:21:27,0.1,27.42
10904,POS消费,地点86,开水,2013/11/20 00:23:47,0.08,27.34
10904,POS消费,地点91,校车,2014/02/28 12:06:23,11.2,16.14
10904,POS消费,地点91,校车,2014/02/28 12:06:28,0.6,15.54
10904,POS消费,地点248,超市,2014/06/20 21:16:15,7.0,8.54
10904,POS消费,地点248,超市,2014/06/24 17:53:53,8.0,0.54
