7083,POS消费,地点1098,文印中心,2014/09/01 10:57:14,0.2,88.87
7083,POS消费,地点264,食堂,2014/09/01 11:23:41,5.6,83.27
7083,POS消费,地点1588,食堂,2014/09/01 11:37:05,3.5,79.77
7083,POS消费,地点236,食堂,2014/09/01 17:42:56,4.8,74.97
7083,POS消费,地点179,食堂,2014/09/01 17:45:18,4.0,66.97
7083,POS消费,地点972,食堂,2014/09/01 17:45:36,4.6,70.37
7083,POS消费,地点972,食堂,2014/09/01 17:45:49,-4.6,74.97
7083,POS消费,地点972,食堂,2014/09/01 17:45:54,4.0,70.97
7083,POS消费,地点103,食堂,2014/09/02 12:13:07,7.0,59.97
7083,POS消费,地点103,食堂,2014/09/02 12:13:10,0.6,59.37
7083,POS消费,地点236,食堂,2014/09/02 17:22:30,4.8,54.57
7083,POS消费,地点972,食堂,2014/09/02 17:24:50,4.0,50.57
7083,POS消费,地点1998,食堂,2014/09/02 17:35:58,3.0,47.57
7083,POS消费,地点1998,食堂,2014/09/02 17:36:01,0.5,47.07
7083,POS消费,地点192,超市,2014/09/02 18:40:07,3.0,44.07
7083,POS消费,地点21,开水,2014/09/02 22:03:56,9.0,35.07
7083,POS消费,地点1588,食堂,2014/09/03 12:09:33,7.6,27.47
7083,卡充值,,,2014/09/03 17:05:21,500.0,527.47
7083,POS消费,地点92,食堂,2014/09/03 17:20:54,6.5,520.97
7083,POS消费,地点134,食堂,2014/09/03 17:21:41,4.0,516.97
7083,POS消费,地点972,食堂,2014/09/03 17:25:53,4.0,512.97
7083,POS消费,地点1828,淋浴,2014/09/03 22:09:36,0.8,512.17
7083,POS消费,地点1828,淋浴,2014/09/03 22:09:49,0.2,511.97
7083,POS消费,地点1588,食堂,2014/09/04 12:08:09,7.6,504.37
7083,POS消费,地点1596,食堂,2014/09/04 17:18:17,4.6,499.77
7083,POS消费,地点972,食堂,2014/09/04 17:22:20,6.0,493.77
7083,POS消费,地点264,食堂,2014/09/05 11:53:53,5.0,488.77
7083,POS消费,地点264,食堂,2014/09/05 11:53:56,0.6,488.17
7083,POS消费,地点305,食堂,2014/09/05 11:57:25,6.0,482.17
7083,POS消费,地点305,食堂,2014/09/05 17:12:46,6.0,471.57
7083,POS消费,地点134,食堂,2014/09/05 17:22:49,4.6,477.57
7083,POS消费,地点192,超市,2014/09/05 17:27:20,3.0,468.57
7083,POS消费,地点157,食堂,2014/09/06 11:46:44,5.6,462.97
7083,POS消费,地点179,食堂,2014/09/06 11:47:43,4.0,458.97
7083,POS消费,地点1828,淋浴,2014/09/06 16:36:04,1.3,457.67
7083,POS消费,地点21,开水,2014/09/07 11:23:29,3.0,454.67
7083,POS消费,地点21,开水,2014/09/09 11:55:59,5.0,449.67
7083,POS消费,地点972,食堂,2014/09/09 18:12:15,4.0,441.57
7083,POS消费,地点1998,食堂,2014/09/09 18:22:35,4.1,445.57
7083,POS消费,地点192,超市,2014/09/10 11:55:56,5.0,436.57
7083,POS消费,地点264,食堂,2014/09/10 17:05:43,5.6,430.97
7083,POS消费,地点305,食堂,2014/09/10 17:09:26,4.0,426.97
7083,POS消费,地点87,食堂,2014/09/11 08:29:17,1.5,420.07
7083,POS消费,地点61,食堂,2014/09/11 08:41:31,5.4,421.57
7083,POS消费,地点1847,食堂,2014/09/11 11:30:41,4.0,406.47
7083,POS消费,地点249,食堂,2014/09/11 11:31:14,5.6,414.47
7083,POS消费,地点972,食堂,2014/09/11 11:34:44,4.0,410.47
7083,POS消费,地点264,食堂,2014/09/11 17:22:00,5.6,400.87
7083,POS消费,地点305,食堂,2014/09/11 17:26:12,6.0,394.87
7083,POS消费,地点188,超市,2014/09/12 11:52:48,5.0,389.87
7083,POS消费,地点305,食堂,2014/09/12 17:10:18,4.0,380.27
7083,POS消费,地点157,食堂,2014/09/12 17:18:42,5.6,384.27
7083,POS消费,地点1847,食堂,2014/09/12 17:19:57,4.3,375.97
7083,POS消费,地点1961,超市,2014/09/13 16:43:37,11.1,364.87
7083,POS消费,地点272,食堂,2014/09/13 17:44:59,10.0,354.87
7083,POS消费,地点258,食堂,2014/09/13 17:48:30,3.2,351.67
7083,POS消费,地点6,淋浴,2014/09/13 22:02:04,1.0,350.57
7083,卡挂失,,,2014/09/15 10:10:55,0.0,0.0
7083,更新卡信息,,,2014/09/15 10:12:53,0.0,0.0
7083,卡片开户,,,2014/09/15 10:14:21,100.0,85.0
7083,POS消费,地点91,校车,2014/09/15 17:32:03,3.8,81.2
7083,POS消费,地点21,开水,2014/09/15 17:32:31,1.5,79.7
7083,POS消费,地点91,校车,2014/09/15 17:33:40,5.4,74.3
7083,POS消费,地点238,食堂,2014/09/16 11:56:57,7.0,67.3
7083,POS消费,地点91,校车,2014/09/16 16:41:31,5.6,61.7
7083,POS消费,地点6,淋浴,2014/09/16 16:42:19,1.5,60.2
7083,POS消费,地点238,食堂,2014/09/17 11:57:52,10.0,50.2
7083,POS消费,地点21,开水,2014/09/17 12:03:24,5.8,44.4
7083,POS消费,地点6,淋浴,2014/09/17 18:20:08,0.1,350.47
7083,POS消费,地点649,开水,2014/09/17 22:12:09,0.01,350.46
7083,POS消费,地点217,食堂,2014/09/18 11:48:00,10.0,34.4
7083,卡片销户,,,2014/09/18 12:06:40,32.6,0.0
7083,卡补办,,,2014/09/18 12:08:03,47.6,383.06
7083,POS消费,地点91,校车,2014/09/18 16:36:52,10.6,372.46
7083,POS消费,地点21,开水,2014/09/18 16:48:54,1.8,367.66
7083,POS消费,地点21,开水,2014/09/18 16:48:54,3.0,369.46
7083,POS消费,地点238,食堂,2014/09/19 11:50:16,10.0,357.66
7083,POS消费,地点21,开水,2014/09/19 11:55:22,1.8,355.86
7083,POS消费,地点21,开水,2014/09/19 16:47:00,7.0,348.86
7083,POS消费,地点280,食堂,2014/09/19 16:53:20,3.0,345.86
7083,POS消费,地点654,淋浴,2014/09/19 23:43:55,1.0,344.86
7083,POS消费,地点91,校车,2014/09/20 10:43:50,5.8,339.06
7083,POS消费,地点91,校车,2014/09/20 10:44:45,1.5,337.56
7083,POS消费,地点213,食堂,2014/09/20 13:04:05,4.35,333.21
7083,POS消费,地点213,食堂,2014/09/20 13:04:08,6.0,327.21
7083,POS消费,地点280,食堂,2014/09/21 11:16:06,3.0,314.01
7083,POS消费,地点238,食堂,2014/09/21 11:16:10,10.2,317.01
7083,POS消费,地点258,食堂,2014/09/21 11:26:12,5.0,309.01
7083,POS消费,地点91,校车,2014/09/21 16:44:29,6.7,302.31
7083,POS消费,地点91,校车,2014/09/21 16:46:36,1.5,300.81
7083,POS消费,地点21,开水,2014/09/21 16:48:32,1.36,299.45
7083,POS消费,地点21,开水,2014/09/21 16:58:31,1.0,298.45
7083,POS消费,地点217,食堂,2014/09/22 12:06:58,14.8,283.65
7083,POS消费,地点21,开水,2014/09/22 12:13:54,2.8,280.85
7083,POS消费,地点213,食堂,2014/09/22 14:22:43,0.6,280.25
7083,POS消费,地点238,食堂,2014/09/22 17:04:14,10.0,270.25
7083,POS消费,地点217,食堂,2014/09/23 11:53:22,10.0,260.25
7083,POS消费,地点247,食堂,2014/09/23 17:53:17,10.0,250.25
7083,POS消费,地点238,食堂,2014/09/24 12:00:12,10.0,240.25
7083,POS消费,地点652,淋浴,2014/09/24 13:11:05,1.5,238.75
7083,POS消费,地点256,食堂,2014/09/24 17:02:35,10.0,228.75
