9650,POS消费,地点78,其他,2013/09/01 07:10:12,1.1,124.45
9650,POS消费,地点21,开水,2013/09/01 08:38:39,2.6,154.3
9650,POS消费,地点26,图书馆,2013/09/01 09:52:12,28.7,125.6
9650,POS消费,地点443,开水,2013/09/01 19:11:38,0.01,175.22
9650,POS消费,地点443,开水,2013/09/01 19:12:10,0.01,175.21
9650,POS消费,地点443,开水,2013/09/01 19:16:07,0.01,156.9
9650,POS消费,地点452,淋浴,2013/09/01 19:17:47,0.8,156.91
9650,POS消费,地点443,开水,2013/09/01 19:17:49,0.01,125.59
9650,POS消费,地点443,开水,2013/09/01 19:17:50,0.01,125.58
9650,POS消费,地点358,开水,2013/09/01 19:18:24,0.01,125.57
9650,POS消费,地点358,开水,2013/09/01 19:18:56,0.01,125.56
9650,POS消费,地点358,开水,2013/09/01 19:19:48,0.01,125.55
9650,POS消费,地点443,开水,2013/09/02 07:10:12,0.01,124.44
9650,POS消费,地点21,开水,2013/09/02 07:29:56,1.5,122.94
9650,POS消费,地点103,食堂,2013/09/02 11:52:43,4.2,118.74
9650,POS消费,地点443,开水,2013/09/02 14:01:02,0.01,118.73
9650,POS消费,地点91,校车,2013/09/02 17:29:31,4.2,114.53
9650,POS消费,地点406,开水,2013/09/02 18:08:46,0.02,114.51
9650,POS消费,地点12,文印中心,2013/09/02 22:02:52,1.2,113.31
9650,POS消费,地点443,开水,2013/09/03 06:49:40,0.01,113.3
9650,POS消费,地点238,食堂,2013/09/03 11:47:15,7.0,106.3
9650,POS消费,地点91,校车,2013/09/03 18:12:59,3.0,103.3
9650,POS消费,地点92,食堂,2013/09/04 07:13:19,0.8,101.5
9650,POS消费,地点21,开水,2013/09/04 07:14:12,0.8,100.7
9650,POS消费,地点380,淋浴,2013/09/04 07:53:56,0.1,103.2
9650,POS消费,地点336,淋浴,2013/09/04 07:56:23,0.9,102.3
9650,POS消费,地点184,食堂,2013/09/04 12:15:45,2.2,98.5
9650,POS消费,地点443,开水,2013/09/04 18:17:00,0.01,98.49
9650,POS消费,地点443,开水,2013/09/04 19:38:42,0.01,98.48
9650,POS消费,地点358,开水,2013/09/05 06:57:48,0.01,98.47
9650,POS消费,地点103,食堂,2013/09/05 07:13:36,2.2,96.27
9650,POS消费,地点92,食堂,2013/09/05 07:14:02,1.0,95.27
