stuId,library,hospital,market,water,canteen,washer,other,academic_office,printing,bus,shower,ifBorrowed,numOfBorrowed,DormtimesPerDay,DormtotalDays,DormweekendTimes,librarytotalDays,libraryweekendTimes,librarytotalcol_nameTimes,ranks,labels
0.0,716.8,0.0,4954.8,2387.0,4362.04,0.0,0.0,0.0,3.6,2271.2,74.4,0.0,0.0,3.21,58.0,48.0,13.0,1.0,16.0,0.000340947834981,0.0
1.0,2164.8,0.0,4052.8,2102.32,12062.4,164.64,0.0,234.4,771.2,931.2,172.0,0.0,0.0,3.22,97.0,72.0,1.0,0.0,2.0,0.000681895669962,0.0
8.0,3450.8,0.0,48.0,18816.08,3397.0,18.0,0.0,0.0,24.0,22345.4,438.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995547073791,0.0
9.0,1201.16,0.0,0.0,45612.48,17217.6,190.56,489.04,0.0,2355.2,1610.4,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998727735369,0.0
10.0,1656.0,0.0,2522.4,8178.92,8837.36,625.92,0.0,15.6,0.0,4956.0,1286.0,0.0,0.0,2.41,56.0,23.0,3.0,0.0,4.0,0.000434027777778,0.0
11.0,1314.2,0.0,892.8,8509.24,3274.0,73.92,0.0,0.0,48.0,10079.0,1528.4,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000868055555556,0.0
19.0,523.2,0.0,5023.68,1970.64,4006.48,0.0,0.0,0.0,141.6,55.2,119.2,0.0,0.0,2.69,99.0,66.0,10.0,2.0,19.0,0.00726895119418,0.0
20.0,217.6,0.0,5637.6,5850.96,10965.2,58.8,0.0,327.6,0.0,1425.32,248.8,1.0,10.0,1.44,9.0,4.0,13.0,1.0,14.0,0.369678089304,0.0
21.0,1152.0,0.0,3842.4,3398.52,7244.6,0.0,0.0,0.0,0.0,2347.6,146.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.395638629283,0.0
22.0,2665.2,0.0,4204.0,7044.28,28757.64,88.56,0.0,20.0,6.0,1175.16,610.0,1.0,5.0,3.72,110.0,98.0,9.0,6.0,19.0,0.612720848057,1.0
23.0,624.8,0.0,3218.8,10282.44,30232.2,51.12,0.0,440.8,410.0,4634.0,1030.4,1.0,14.0,5.28,83.0,105.0,7.0,8.0,14.0,0.761130742049,2.0
