stuId,library,hospital,market,water,canteen,washer,other,academic_office,printing,bus,shower,labels
0,7.03333333333,0.0,8.56752688172,1.85023148148,5.00642857143,0.0,0.0,0.0,0.3,4.03232323232,0.363636363636,0.0
1,10.0222222222,0.0,7.67575757576,1.71758169935,5.82162162162,0.894782608696,0.0,14.65,10.7111111111,2.00689655172,0.421568627451,0.0
8,7.33272727273,0.0,5.0,2.89392682927,6.09919354839,0.75,0.0,0.0,0.666666666667,8.34192913386,0.874,0.0
9,5.89105263158,0.0,0.0,4.20529626253,8.52545454545,1.25368421053,61.13,0.0,16.3555555556,5.1,0.294754098361,0.0
10,17.0375,0.0,11.0363636364,2.5936971831,4.62582914573,1.92235294118,0.0,1.3,0.0,3.93719008264,1.16890756303,0.0
11,3.69444444444,0.0,3.72142857143,2.20692307692,5.45666666667,1.54,0.0,0.0,4.0,6.18365384615,1.11736111111,0.0
19,16.35,0.0,9.811875,5.72860465116,4.24415254237,0.0,0.0,0.0,4.425,1.15,3.725,0.0
20,8.8,0.0,10.3142857143,4.21891566265,5.35060240964,1.63333333333,0.0,1.49259259259,0.0,3.056875,0.805,0.0
21,10.6666666667,0.0,8.77027027027,7.39769230769,6.2556122449,0.0,0.0,0.0,0.0,4.64772727273,1.18181818182,0.0
22,19.6066666667,0.0,11.5894736842,4.52235023041,5.56291353383,1.845,0.0,5.0,0.166666666667,3.614375,2.695,1.0
23,7.03,0.0,11.6703703704,4.30921487603,6.58965163934,0.852,0.0,4.54,3.01333333333,3.37518796992,2.82307692308,2.0
28,5.21818181818,0.0,6.80787401575,2.91346820809,3.636443769,1.23,0.0,2.265,0.7,2.5964516129,2.9375,1.0
29,3.80263157895,0.0,6.385,3.23037735849,4.17322869955,3.6,3.0,1.1,1.45,1.96126984127,2.06666666667,0.0
36,4.93333333333,0.0,8.69423728814,2.45192640693,3.39689614936,0.357674418605,0.0,2.01909090909,0.75625,2.77155844156,0.8489,0.0
37,7.4,0.0,6.2288172043,2.50465163934,4.41536630037,1.83,0.0,4.825,0.95,2.79347826087,1.99411764706,0.0
56,7.6619047619,0.0,8.26666666667,3.81282051282,5.2472972973,0.0,0.0,0.0,7.56923076923,6.36666666667,0.0,0.0
57,3.35,0.0,11.0538461538,8.93333333333,4.5,3.6,0.0,0.0,1.2,1.94090909091,0.6,0.0
62,3.84705882353,0.0,7.86772727273,4.63538461538,5.327960199,0.183,0.0,0.0,0.857142857143,3.8625,1.05735849057,0.0
